answers,classification_label
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'21': '81'
'6': '21'
'4': '16'
'2': '5'
'7': '27'
'3': '9'
'1': '1'
'13': '49'
'20': '78'
'8': '29'
'5': '18'
'15': '59'
'12': '47'
'18': '69'
'10': '37'
'9': '33'
'11': '43'
'16': '61'
'17': '66'
'19': '76'
'14': '53'
",fashion
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'6': '23'
'2': '6'
'16': '61'
'7': '25'
'3': '9'
'12': '48'
'1': '1'
'5': '17'
'18': '71'
'21': '81'
'10': '39'
'4': '16'
'20': '80'
'17': '68'
'11': '43'
'8': '29'
'9': '33'
'15': '60'
'19': '74'
'13': '51'
'14': '55'
",casual/romantica
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'8': '29'
'6': '22'
'19': '75'
'11': '43'
'21': '81'
'2': '5'
'16': '62'
'10': '39'
'15': '57'
'7': '26'
'20': '78'
'14': '55'
'12': '48'
'1': '3'
'18': '69'
'17': '66'
'5': '18'
'13': '50'
'9': '35'
'4': '16'
'3': '9'
",fashion
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'11': '43'
'3': '11'
'2': '5'
'7': '27'
'20': '78'
'5': '17'
'14': '55'
'21': '81'
'1': '1'
'16': '62'
'19': '75'
'12': '48'
'17': '65'
'15': '57'
'18': '69'
'10': '39'
'13': '51'
'4': '16'
'8': '29'
'9': '36'
'6': '22'
",fashion
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'16': '62'
'11': '43'
'15': '60'
'1': '1'
'12': '48'
'4': '16'
'9': '33'
'10': '37'
'2': '5'
'6': '24'
'17': '66'
'20': '78'
'3': '11'
'8': '29'
'13': '50'
'14': '56'
'21': '81'
'19': '75'
'7': '27'
'5': '18'
'18': '69'
",fashion
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'15': '60'
'4': '14'
'18': '69'
'6': '24'
'16': '62'
'7': '27'
'8': '29'
'10': '37'
'2': '7'
'17': '65'
'1': '1'
'21': '83'
'19': '76'
'11': '41'
'3': '9'
'20': '78'
'9': '33'
'13': '51'
'12': '48'
'5': '20'
'14': '56'
",fashion
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'3': '9'
'10': '39'
'19': '76'
'17': '65'
'12': '48'
'7': '27'
'5': '18'
'2': '5'
'8': '29'
'6': '22'
'21': '81'
'11': '43'
'13': '51'
'14': '55'
'18': '69'
'16': '62'
'20': '78'
'9': '34'
'15': '57'
'4': '16'
'1': '1'
",fashion
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'9': '36'
'7': '25'
'17': '68'
'16': '61'
'8': '29'
'2': '5'
'1': '2'
'15': '60'
'6': '23'
'5': '17'
'20': '80'
'3': '9'
'11': '42'
'21': '81'
'18': '69'
'13': '49'
'4': '16'
'14': '55'
'10': '38'
'12': '47'
'19': '74'
",elegante
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'14': '56'
'8': '31'
'3': '12'
'2': '5'
'12': '46'
'11': '43'
'18': '69'
'13': '51'
'1': '1'
'10': '39'
'9': '35'
'4': '16'
'15': '60'
'17': '65'
'21': '81'
'6': '22'
'7': '28'
'16': '62'
'5': '20'
'19': '76'
'20': '78'
",fashion
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'7': '27'
'21': '83'
'15': '58'
'20': '78'
'13': '50'
'6': '23'
'12': '48'
'8': '31'
'18': '70'
'1': '3'
'4': '13'
'5': '20'
'19': '75'
'10': '39'
'11': '41'
'16': '62'
'2': '6'
'14': '56'
'17': '68'
'3': '11'
'9': '35'
",fashion
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'10': '39'
'20': '80'
'4': '16'
'7': '28'
'19': '74'
'8': '32'
'1': '4'
'13': '52'
'14': '55'
'12': '45'
'9': '35'
'15': '58'
'21': '82'
'5': '20'
'2': '5'
'17': '68'
'18': '70'
'16': '63'
'11': '43'
'3': '10'
'6': '21'
",casual/romantica
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'11': '41'
'13': '51'
'19': '76'
'12': '48'
'3': '11'
'9': '33'
'15': '58'
'16': '62'
'18': '71'
'20': '78'
'10': '37'
'21': '81'
'1': '1'
'8': '31'
'14': '54'
'4': '13'
'17': '66'
'2': '6'
'6': '24'
'7': '27'
'5': '20'
",fashion
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'7': '27'
'5': '20'
'12': '48'
'21': '81'
'3': '11'
'2': '5'
'18': '70'
'20': '78'
'13': '51'
'6': '22'
'8': '31'
'16': '62'
'14': '55'
'10': '39'
'1': '3'
'11': '41'
'9': '36'
'17': '66'
'4': '13'
'15': '59'
'19': '73'
",fashion
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'5': '17'
'20': '80'
'16': '61'
'18': '70'
'21': '81'
'6': '22'
'4': '16'
'19': '75'
'8': '29'
'9': '36'
'14': '56'
'11': '42'
'15': '58'
'12': '47'
'3': '9'
'1': '2'
'13': '50'
'7': '27'
'10': '40'
'2': '5'
'17': '65'
",elegante
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'2': '5'
'6': '22'
'19': '75'
'9': '33'
'5': '20'
'13': '50'
'17': '66'
'3': '12'
'14': '55'
'18': '71'
'21': '82'
'7': '28'
'12': '48'
'20': '78'
'4': '16'
'11': '43'
'15': '60'
'16': '64'
'8': '31'
'1': '3'
'10': '39'
",casual/romantica
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'16': '62'
'14': '55'
'15': '60'
'1': '1'
'17': '66'
'4': '16'
'6': '22'
'5': '18'
'18': '69'
'10': '39'
'3': '11'
'21': '81'
'7': '27'
'2': '5'
'11': '41'
'19': '76'
'13': '51'
'12': '48'
'9': '33'
'20': '78'
'8': '29'
",fashion
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'9': '34'
'4': '15'
'18': '70'
'2': '6'
'17': '68'
'15': '58'
'8': '32'
'12': '46'
'21': '82'
'16': '64'
'10': '40'
'19': '76'
'14': '56'
'1': '1'
'3': '12'
'11': '42'
'5': '17'
'13': '50'
'6': '22'
'7': '28'
'20': '80'
",casual/romantica
